i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
0,0,2.200000,0.200000,-132416893230710010805223424.000000,-26.121943,-inf,125593170170608154990084096.000000,inf,0.948468,nan
0,1,2.200000,0.225806,-1041468327433895936000.000000,-21.017646,-inf,982538646340501504000.000000,inf,0.943417,nan
0,2,2.200000,0.251613,-215697958198163872.000000,-17.333846,-inf,203266806392055872.000000,inf,0.942368,nan
0,3,2.200000,0.277419,-318947406961036.062500,-14.503719,-7.886467,299338430014937.937500,7.877848,0.938520,0.998907
0,4,2.200000,0.303226,-1819279862669.205566,-12.259900,-7.212417,1690514484025.997070,7.202421,0.929222,0.998614
0,5,2.200000,0.329032,-29788104834.456982,-10.474043,-6.629992,27131504745.771843,6.616190,0.910817,0.997918
0,6,2.200000,0.354839,-1124069658.051225,-9.050793,-6.128050,987781728.299570,6.107448,0.878755,0.996638
0,7,2.200000,0.380645,-81931528.560084,-7.913451,-5.696833,67820163.435279,5.664506,0.827766,0.994325
0,8,2.200000,0.406452,-10097956.546816,-7.004233,-5.328495,7611536.840265,5.276911,0.753770,0.990319
0,9,2.200000,0.432258,-1903351.381470,-6.279519,-5.016801,1255363.849419,4.936203,0.659554,0.983934
0,10,2.200000,0.458065,-504434.261968,-5.702805,-4.755209,281910.316902,4.636288,0.558864,0.974992
0,11,2.200000,0.483871,-174238.801720,-5.241145,-4.535776,81532.821433,4.372826,0.467937,0.964075
0,12,2.200000,0.509677,-73638.845804,-4.867107,-4.350551,28948.348490,4.141242,0.393112,0.951889
0,13,2.200000,0.535484,-36358.597492,-4.560607,-4.193213,12093.199279,3.936484,0.332609,0.938775
0,14,2.200000,0.561290,-20283.857591,-4.307151,-4.058931,5782.596896,3.755635,0.285084,0.925277
0,15,2.200000,0.587097,-12449.268984,-4.095144,-3.943445,3130.130968,3.599057,0.251431,0.912668
0,16,2.200000,0.612903,-8217.642568,-3.914747,-3.842727,1897.553609,3.466788,0.230912,0.902169
0,17,2.200000,0.638710,-5729.011603,-3.758080,-3.753303,1255.201044,3.354164,0.219096,0.893657
0,18,2.200000,0.664516,-4164.557920,-3.619569,-3.672633,876.388541,3.253545,0.210440,0.885889
0,19,2.200000,0.690323,-3131.332811,-3.495729,-3.599157,630.320249,3.158840,0.201295,0.877661
0,20,2.200000,0.716129,-2423.726338,-3.384484,-3.532007,461.386492,3.066930,0.190362,0.868325
0,21,2.200000,0.741935,-1925.173242,-3.284470,-3.470669,342.210575,2.976703,0.177756,0.857674
0,22,2.200000,0.767742,-1565.273173,-3.194590,-3.414728,256.851259,2.887902,0.164094,0.845720
0,23,2.200000,0.793548,-1299.595252,-3.113808,-3.363762,194.972302,2.800474,0.150025,0.832542
0,24,2.200000,0.819355,-1099.245818,-3.041095,-3.317310,149.575751,2.714321,0.136071,0.818230
